date,sector,open,high,low,close
2020-05-15,Realty,1443.43,1443.43,1303.74,1346.16
2020-05-31,Realty,1349.69,1416.94,1259.01,1411.46
2020-06-15,Realty,1424.76,1620.04,1423.86,1538.56
2020-06-30,Realty,1558.66,1729.52,1504.99,1581.44
2020-07-15,Realty,1581.34,1658.35,1534.85,1538.44
2020-07-31,Realty,1545.97,1605.57,1515.59,1575.68
2020-08-15,Realty,1590.08,1666.56,1550.91,1629.09
2020-08-31,Realty,1651.98,1878.05,1631.45,1758.4
2020-09-15,Realty,1738.83,1800.86,1643.91,1749.55
2020-09-30,Realty,1754.52,1819.97,1604.18,1671.43
2020-10-15,Realty,1683.74,1755.99,1646.39,1652.92
